Symbol,Company,Year,Revenue,EquityRatio,OperatingCF,Cash,Dividend,Count,ROE,EPS,MarketCap
3382.T,"Seven & i Holdings Co., Ltd.",2016,,,,,30.5,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2017,,,,,30.0,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2018,,,,,30.833333,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2019,,,,,31.666666,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2020,,,,,32.833332999999996,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2021,,,,,33.0,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2022,,,,,33.833332,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2023,11811302000000.0,0.3293153719909362,928476000000.0,1670872000000.0,40.0,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2024,11471753000000.0,0.3508816981534475,673015000000.0,1558738000000.0,38.833332,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2025,11972762000000.0,0.35447177706242283,876458000000.0,1368663000000.0,45.0,2,0.07605,118.78,4400402137088
3382.T,"Seven & i Holdings Co., Ltd.",2026,10430268000000.0,0.395982175132181,666736000000.0,438634000000.0,25.0,1,0.07605,118.78,4400402137088
4063.T,"Shin-Etsu Chemical Co., Ltd.",2016,,,,,23.0,2,0.106800005,252.21,12710016188416
4063.T,"Shin-Etsu Chemical Co., Ltd.",2017,,,,,25.0,2,0.106800005,252.21,12710016188416
4063.T,"Shin-Etsu Chemical Co., Ltd.",2018,,,,,35.0,2,0.106800005,252.21,12710016188416
4063.T,"Shin-Etsu Chemical Co., Ltd.",2019,,,,,42.0,2,0.106800005,252.21,12710016188416
4063.T,"Shin-Etsu Chemical Co., Ltd.",2020,,,,,44.0,2,0.106800005,252.21,12710016188416
4063.T,"Shin-Etsu Chemical Co., Ltd.",2021,,,,,58.0,2,0.106800005,252.21,12710016188416
