Symbol,Company,CurrentPrice,TotalScore,DividendYield,AvgYield2Y,MaxYield2Y,MarketCap,SizeCategory,SectorJP,SplitFlag,BuySignal,Problem,AvgGrowthRate,CumulativeDividend
3134.T,Hamee Corp.,265.0,67,0.08490566037735849,0.05377221068740176,0.09,4048253184.0,超小型,一般消費財・サービス,,☆,,0.492924513757847,累進
9733.T,Nagase Brothers Inc.,2330.0,79,0.06437768240343347,0.06146539338385164,0.06858710562414266,59681234944.0,小型,生活必需品,,〇,,0.1153846204733729,累進
8999.T,Grandy House Corporation,506.0,44,0.06324110671936758,0.0625157336584525,0.06876390671345464,14642911232.0,超小型,不動産,,〇,営業CF合計マイナス/ROE低い/EPS低い,0.1191607238708687,累進
417A.T,Unknown,1784.5,100,0.06164191650322219,0.03740346443046732,0.060689591870244995,357393072128.0,大型,生活必需品,Split,☆,,0.1254936100279516,累進
5161.T,"Nishikawa Rubber Co., Ltd.",3015.0,97,0.06069651741293532,0.08028673555118992,0.18749499530303115,107822489600.0,中型,一般消費財・サービス,,×,,0.3381332962034716,
3925.T,Double Standard Inc.,1180.0,71,0.059322033898305086,0.05060283409889398,0.060922541340295906,15556739072.0,超小型,情報技術,,◎,配当性向70%以上2回,0.3145946645946645,累進
2479.T,JTEC Corporation,227.0,72,0.05726872246696035,0.05273476610667523,0.05909090909090909,1822151680.0,超小型,情報技術,,◎,,0.5555555555555556,累進
6809.T,TOA Corporation,1576.0,87,0.05710659898477157,0.049447745848439806,0.07955651515854127,54923550720.0,小型,資本財・サービス,,△,,0.1420503811808159,
1418.T,"Interlife Holdings Co., Ltd.",527.0,76,0.056925996204933584,0.06569123866239925,0.11077815160595865,7886291456.0,超小型,資本財・サービス,,×,,0.2611111111111111,累進
1870.T,"Yahagi Construction Co.,Ltd.",1833.0,84,0.05455537370430987,0.04559034567598064,0.07687669015112356,78202085376.0,小型,資本財・サービス,,△,,0.1595071670643565,
6070.T,"Careerlink Co., Ltd.",2217.0,60,0.05412719891745602,0.05694427976802271,0.06643562697000989,26069229568.0,超小型,資本財・サービス,,×,,0.5502244668911335,累進
5195.T,"Bando Chemical Industries, Ltd.",2223.0,94,0.05398110661268556,0.04651723673435177,0.0606063135370566,90511212544.0,小型,資本財・サービス,,〇,,0.1684798296146696,
8881.T,"NISSHIN GROUP HOLDINGS Company, Limited",649.0,70,0.053929121725731895,0.05058563919834357,0.056451612903225805,29984366592.0,超小型,不動産,,◎,営業CF合計マイナス,0.1065937149270482,累進
4619.T,"Nihon Tokushu Toryo Co., Ltd.",2342.0,83,0.0533731853116994,0.06130094972609392,0.10724337910901069,49589420032.0,小型,一般消費財・サービス,,×,,0.1481186064547802,
2379.T,DIP Corporation,1798.0,87,0.052836484983314794,0.03690881586292673,0.05048088321307604,91097571328.0,小型,コミュニケーション・サービス,,☆,配当性向70%以上2回,0.1280723454003143,
7593.T,"Vt Holdings Co.,Ltd.",455.0,82,0.05274725274725275,0.03976360255380594,0.05622252748725769,52198572032.0,小型,一般消費財・サービス,,〇,自己資本比率低い,0.0467040829022911,累進
256A.T,TOBISHIMA HOLDINGS Inc.,1998.0,77,0.052552552552552555,0.0545274778055846,0.06442215525173205,37654253568.0,超小型,資本財・サービス,,×,,0.1928571428571428,累進
